id,text,number_of_gaps,number_of_participants,number_in_text,loc,glob,unknown,predictability_type
1,1,43,47,1,44,1,2,local
2,1,43,47,2,21,23,1,global
3,1,43,47,3,39,5,0,global
4,1,43,47,4,46,0,1,local
5,1,43,47,5,29,5,2,global
6,1,43,47,6,14,28,2,global
7,1,43,47,7,43,0,0,local
8,1,43,47,8,26,20,0,global
9,1,43,47,9,28,13,1,global
10,1,43,47,10,43,0,1,local
11,1,43,47,11,45,0,0,local
12,1,43,47,12,32,11,0,global
13,1,43,47,13,46,0,0,local
14,1,43,47,14,22,22,1,global
15,1,43,47,15,20,19,0,global
16,1,43,47,16,8,33,1,global
17,1,43,47,17,26,9,2,global
18,1,43,47,18,38,0,0,local
19,1,43,47,19,40,1,1,local
20,1,43,47,20,14,25,1,global
21,1,43,47,21,28,8,1,global
22,1,43,47,22,33,0,3,local
23,1,43,47,23,46,0,1,local
24,1,43,47,24,40,0,0,local
25,1,43,47,25,34,0,1,local
26,1,43,47,26,39,0,0,local
27,1,43,47,27,34,0,0,local
28,1,43,47,28,13,18,0,global
29,1,43,47,29,46,0,0,local
30,1,43,47,30,36,0,1,local
31,1,43,47,31,35,2,0,local
32,1,43,47,32,15,29,0,global
33,1,43,47,33,43,0,0,local
34,1,43,47,34,44,0,0,local
35,1,43,47,35,43,1,0,local
36,1,43,47,36,24,14,2,global
37,1,43,47,37,33,0,0,local
38,1,43,47,38,39,0,0,local
39,1,43,47,39,8,30,0,global
40,1,43,47,40,16,15,0,global
41,1,43,47,41,33,0,0,local
42,1,43,47,42,37,3,0,local
43,1,43,47,43,34,2,0,local
44,2,40,48,1,44,0,1,local
45,2,40,48,2,48,0,0,local
46,2,40,48,3,27,21,0,local
47,2,40,48,4,41,6,0,global
48,2,40,48,5,37,10,0,global
49,2,40,48,6,29,15,1,local
50,2,40,48,7,39,6,0,local
51,2,40,48,8,34,11,1,local
52,2,40,48,9,48,0,0,local
53,2,40,48,10,47,0,0,local
54,2,40,48,11,47,0,0,local
55,2,40,48,12,43,5,0,global
56,2,40,48,13,23,24,0,global
57,2,40,48,14,34,10,0,global
58,2,40,48,15,17,30,0,global
59,2,40,48,16,9,36,1,global
60,2,40,48,17,27,20,0,local
61,2,40,48,18,20,25,0,global
62,2,40,48,19,47,0,0,local
63,2,40,48,20,40,5,0,global
64,2,40,48,21,42,0,0,local
65,2,40,48,22,46,0,0,local
66,2,40,48,23,45,2,0,local
67,2,40,48,24,45,0,1,local
68,2,40,48,25,43,0,3,local
69,2,40,48,26,46,0,0,local
70,2,40,48,27,47,0,0,local
71,2,40,48,28,40,6,0,local
72,2,40,48,29,43,0,0,local
73,2,40,48,30,41,1,0,local
74,2,40,48,31,37,7,0,global
75,2,40,48,32,43,0,0,local
76,2,40,48,33,46,0,0,local
77,2,40,48,34,47,0,0,global
78,2,40,48,35,47,0,0,local
79,2,40,48,36,46,0,0,local
80,2,40,48,37,45,0,0,local
81,2,40,48,38,43,0,0,local
82,2,40,48,39,46,1,0,local
83,2,40,48,40,45,1,0,local
84,3,35,47,1,41,0,0,local
85,3,35,47,2,44,0,0,local
86,3,35,47,3,46,0,0,local
87,3,35,47,4,47,0,0,local
88,3,35,47,5,45,0,0,local
89,3,35,47,6,47,0,0,local
90,3,35,47,7,42,0,0,local
91,3,35,47,8,45,0,0,local
92,3,35,47,9,42,0,0,local
93,3,35,47,10,44,1,0,local
94,3,35,47,11,0,46,0,global
95,3,35,47,12,45,0,0,local
96,3,35,47,13,7,37,0,global
97,3,35,47,14,12,33,0,global
98,3,35,47,15,4,40,0,global
99,3,35,47,16,40,3,0,local
100,3,35,47,17,3,42,0,global
101,3,35,47,18,19,26,0,global
102,3,35,47,19,44,0,0,local
103,3,35,47,20,38,0,0,local
104,3,35,47,21,30,16,0,local
105,3,35,47,22,45,0,0,local
106,3,35,47,23,9,27,0,global
107,3,35,47,24,44,0,0,local
108,3,35,47,25,4,33,0,global
109,3,35,47,26,44,1,0,local
110,3,35,47,27,2,44,0,global
111,3,35,47,28,25,16,0,local
112,3,35,47,29,37,1,0,local
113,3,35,47,30,15,25,0,global
114,3,35,47,31,11,34,0,global
115,3,35,47,32,42,4,0,local
116,3,35,47,33,45,0,0,local
117,3,35,47,34,47,0,0,local
118,3,35,47,35,47,0,0,local
119,4,44,66,1,64,0,0,local
120,4,44,66,2,64,0,0,local
121,4,44,66,3,62,0,0,local
122,4,44,66,4,60,0,0,local
123,4,44,66,5,62,0,0,local
124,4,44,66,6,56,8,0,global
125,4,44,66,7,48,5,0,global
126,4,44,66,8,43,6,1,global
127,4,44,66,9,57,7,0,global
128,4,44,66,10,43,17,0,global
129,4,44,66,11,24,36,4,global
130,4,44,66,12,65,0,0,local
131,4,44,66,13,41,20,2,global
132,4,44,66,14,62,0,0,local
133,4,44,66,15,53,9,0,global
134,4,44,66,16,62,3,0,global
135,4,44,66,17,19,0,44,unknown
136,4,44,66,18,38,26,0,global
137,4,44,66,19,57,7,1,global
138,4,44,66,20,64,1,0,local
139,4,44,66,21,42,20,0,global
140,4,44,66,22,53,5,0,global
141,4,44,66,23,19,44,0,global
142,4,44,66,24,63,0,0,local
143,4,44,66,25,59,0,0,local
144,4,44,66,26,43,17,0,global
145,4,44,66,27,43,0,13,unknown
146,4,44,66,28,50,8,0,global
147,4,44,66,29,50,11,0,global
148,4,44,66,30,64,0,0,local
149,4,44,66,31,64,0,0,local
150,4,44,66,32,63,0,0,local
151,4,44,66,33,57,5,0,local
152,4,44,66,34,53,11,0,global
153,4,44,66,35,8,56,0,global
154,4,44,66,36,62,1,0,local
155,4,44,66,37,44,16,0,global
156,4,44,66,38,32,25,0,global
157,4,44,66,39,56,0,0,local
158,4,44,66,40,47,0,16,unknown
159,4,44,66,41,61,0,0,local
160,4,44,66,42,22,39,0,global
161,4,44,66,43,21,36,0,global
162,4,44,66,44,62,0,0,local
163,5,37,47,1,47,0,0,local
164,5,37,47,2,47,0,0,local
165,5,37,47,3,47,0,0,local
166,5,37,47,4,46,0,0,local
167,5,37,47,5,47,0,0,unknown
168,5,37,47,6,47,0,0,local
169,5,37,47,7,47,0,0,local
170,5,37,47,8,47,0,0,local
171,5,37,47,9,41,3,0,local
172,5,37,47,10,40,6,0,global
173,5,37,47,11,28,12,0,global
174,5,37,47,12,44,0,0,local
175,5,37,47,13,36,5,0,global
176,5,37,47,14,28,12,0,local
177,5,37,47,15,46,0,0,local
178,5,37,47,16,44,0,0,local
179,5,37,47,17,45,0,0,local
180,5,37,47,18,44,0,0,local
181,5,37,47,19,46,0,0,local
182,5,37,47,20,45,0,0,local
183,5,37,47,21,33,7,0,local
184,5,37,47,22,46,0,0,local
185,5,37,47,23,46,0,0,local
186,5,37,47,24,40,0,0,local
187,5,37,47,25,40,0,0,local
188,5,37,47,26,22,18,0,global
189,5,37,47,27,41,0,0,local
190,5,37,47,28,4,36,1,global
191,5,37,47,29,43,0,0,local
192,5,37,47,30,13,29,0,global
193,5,37,47,31,38,0,0,local
194,5,37,47,32,43,0,0,local
195,5,37,47,33,44,0,0,local
196,5,37,47,34,44,0,0,local
197,5,37,47,35,43,0,0,local
198,5,37,47,36,46,0,0,local
199,5,37,47,37,45,0,0,local
200,6,35,47,1,46,0,0,local
201,6,35,47,2,44,1,1,local
202,6,35,47,3,31,13,0,global
203,6,35,47,4,47,0,0,local
204,6,35,47,5,38,6,3,global
205,6,35,47,6,38,7,0,local
206,6,35,47,7,31,13,1,global
207,6,35,47,8,31,13,0,local
208,6,35,47,9,46,0,0,local
209,6,35,47,10,46,0,0,local
210,6,35,47,11,46,0,0,local
211,6,35,47,12,29,15,1,global
212,6,35,47,13,18,26,0,global
213,6,35,47,14,27,17,0,global
214,6,35,47,15,29,15,0,global
215,6,35,47,16,44,0,0,local
216,6,35,47,17,44,1,1,local
217,6,35,47,18,45,0,0,local
218,6,35,47,19,44,0,0,local
219,6,35,47,20,44,0,0,local
220,6,35,47,21,42,0,0,local
221,6,35,47,22,33,11,0,global
222,6,35,47,23,42,0,0,local
223,6,35,47,24,24,19,0,global
224,6,35,47,25,11,31,1,global
225,6,35,47,26,44,1,0,local
226,6,35,47,27,20,22,0,global
227,6,35,47,28,44,0,0,local
228,6,35,47,29,44,0,0,local
229,6,35,47,30,43,0,0,local
230,6,35,47,31,45,0,0,local
231,6,35,47,32,44,0,0,local
232,6,35,47,33,25,18,0,global
233,6,35,47,34,12,31,0,global
234,6,35,47,35,8,30,0,global