id,text,number_in_text,number_of_gaps,word,lemma,pos,correct_guess,skipped,number_of_participants,frequency,predictability_type,dependency,head,word_before,pos_before,word_after,pos_after,sem_tag,sem_tag_2,sem,sem_tag_size,sem_tag_size_2,semantics,count_dependents,is_middle,count_dependents_new,is_middle_new,left_bigram,right_bigram,sum_bigram,max_bigram,token_frequency,left_frequency,right_frequency,correct_pos,correct_sem
1,1,1,43,повернулся,повернуться,v,12,0,47,22659,local,ROOT,повернулся,Пилат,n,и,conj,2.2.2.,2.2.,2,430,1350,глаголы изменения качества состояния объекта,4,0,3,0,2,2627,2629,2627,11675,764,15068944,45,36
7,1,7,43,вырвался,вырваться,v,26,5,47,12912,local,acl,чудо,смерти,n,из,prep,1.4.,1.4.,1,941,941,Глаголы физического воздействия на объект,2,1,1,1,3,780,783,780,2754,73077,1655122,42,39
11,1,11,43,знал,знать,v,28,2,47,669628,local,ROOT,знал,Он,pron,что,conj,1.6.,1.6.,1,434,434,глаголы интеллектуальной деятельности,4,0,3,0,9628,24746,34374,24746,92938,2622372,4480095,44,37
22,1,22,43,остановились,остановиться,v,10,11,47,73451,local,conj,взмахнул,конвой,n,Кавалерийская,adj,2.1.3.,2.1.,2,157,375,глаголы прекращения состояния,4,1,3,1,1,0,1,1,12267,1501,475,34,15
23,1,23,43,вылетела,вылететь,v,6,0,47,7328,local,ROOT,вылетела,рыси,n,на,prep,1.1.1.,1.1.,1,334,395,глаголы однонаправленного движения,3,1,2,1,1,96,97,96,1099,420,5973296,46,33
29,1,29,43,выхватил,выхватить,v,16,2,47,4584,local,conj,выкрикнул,и,conj,из,prep,1.4.,1.4.,1,941,941,Глаголы воздействия на объект,2,1,2,1,178,573,751,573,2340,15068944,1655122,45,45
31,1,31,43,шарахнулась,шарахнуться,v,6,11,47,1247,local,ROOT,шарахнулась,лошадь,n,поднялась,v,1.2.2.,1.2.,1,57,304,глаголы движения,4,0,3,0,18,1,19,18,349,23704,9775,25,10
34,1,34,43,полетели,полететь,v,6,3,47,11565,local,ROOT,полетели,ряд,n,всадники,n,1.2.2.,1.2.,1,57,304,глаголы движения,8,0,7,0,1,1,2,1,2604,34946,1565,42,40
41,1,41,43,морща,морщить,v,24,2,47,953,local,conj,закрываясь,недовольно,adv,лицо,n,1.9.,1.9.,1,98,98,глаголы физиологического действия,2,1,2,1,4,14,18,14,301,3934,127292,43,38
42,1,42,43,двинулся,двинуться,v,11,3,47,16417,local,ROOT,двинулся,Пилат,n,дальше,adv,1.1.1.,1.1.,1,334,395,глаголы однонаправленного движения,7,0,6,0,1,339,340,339,5676,764,85448,44,37
43,1,43,43,двинулся,двинуться,v,9,4,47,16417,local,conj,двинулся,ним,pron,легат,n,1.1.1.,1.1.,1,334,395,глаголы однонаправленного движения,4,1,3,1,18,1,19,18,5676,248958,305,38,29
52,2,9,40,принялись,приняться,v,5,2,48,28161,local,ROOT,принялись,Ивана,n,трое,num,1.4.,1.4.,1,941,941,глаголы физического воздействия на объект,5,0,4,0,2,2,4,2,5819,21565,18144,46,25
54,2,11,40,обдумывать,обдумывать,v,16,1,48,4101,local,ROOT,обдумывать,стал,v,положение,n,1.6.,1.6.,1,434,434,глаголы интеллектуальной деятельности,1,1,1,1,100,6,106,100,749,167482,52562,43,36
55,2,12,40,соблазнял,соблазнять,v,5,0,48,1813,global,ROOT,соблазнял,Чрезвычайно,adv,первый,num,2.2.4.3.,2.2.,2,180,1350,глаголы приведения в эмоциональное состояние,4,0,3,0,1,1,2,1,212,28093,119477,14,10
57,2,14,40,задержан,задержать,v,6,3,48,15199,global,acl,то,он,pron,зря,adv,1.8.7.,1.8.,1,53,583,глаголы удержания,4,1,3,1,36,1,37,36,2003,2622372,15315,30,6
65,2,22,40,замкнуться,замкнуться,v,6,2,48,1505,local,parataxis,третий,третий,num,в,prep,2.1.,2.1.,2,375,375,глаголы состояния,1,1,1,1,1,88,89,88,190,32810,11436263,41,38
66,2,23,40,осуществить,осуществить,v,9,1,48,11369,local,csubj,удалось,этого,pron,не,part,1.8.6.,1.8.,1,23,583,глаголы деятельности,1,1,1,1,7,56,63,56,5597,407759,6808764,42,33
68,2,25,40,выспросили,выспросить,v,6,2,48,259,local,ROOT,выспросили,Ивана,n,решительно,adv,1.7.,1.7.,1,284,284,глаголы речевой деятельности,5,0,4,0,1,1,2,1,11,21565,25939,41,32
72,2,29,40,умер,умереть,v,9,5,48,84102,local,parataxis,Началась,кто,pron,когда,pron,2.1.,2.1.,2,375,375,глаголы бытия,4,1,4,1,189,149,338,189,31608,307753,790959,25,11
73,2,30,40,пил,пить,v,7,6,48,82554,local,conj,умер,не,part,ли,part,1.9.,1.9.,1,98,98,глаголы физиологического действия,5,1,4,1,1844,24,1868,1844,12730,6808764,470800,37,8
75,2,32,40,удивлялись,удивляться,v,5,5,48,21451,local,conj,попросили,не,part,Тут,adv,2.2.4.,2.2.,2,431,1350,глаголы выражения эмоций,5,1,4,1,112,0,112,112,1862,6808764,310002,43,12
76,2,33,40,уступила,уступить,v,4,2,48,11443,local,ROOT,уступила,женщина,n,Ивана,n,3.1.,3.1.,3,105,105,глаголы социального взаимодействия,7,0,6,0,3,1,4,3,892,63856,21565,46,42
82,2,39,40,подпрыгивали,подпрыгивать,v,8,1,48,2796,local,parataxis,стучали,Ивана,n,кололи,v,1.9.,1.9.,1,98,98,глаголы физиологического действия,3,1,2,1,1,1,2,1,231,21565,594,46,41
94,3,11,35,направлялось,направляться,v,2,1,47,7952,global,ROOT,направлялось,людей,n,в,prep,1.1.1.,1.1.,1,334,395,глаголы однонаправленного движения,6,0,5,0,0,15,15,15,142,205003,11436263,45,22
99,3,16,35,оглушили,оглушить,v,15,4,47,2483,local,ROOT,оглушили,его,pron,крики,n,1.4.,1.4.,1,941,941,Глаголы воздействия на объект,6,0,5,0,10,0,10,10,158,2008842,9658,36,21
107,3,24,35,направлявшихся,направляться,v,2,6,47,7952,local,acl,преторианцев,видимо,adv,с,prep,1.1.1.,1.1.,1,334,395,глаголы однонаправленного движения,8,0,7,0,0,1,1,1,107,43059,4342653,38,26
109,3,26,35,спрашивать,спрашивать,v,9,2,47,86487,local,xcomp,начал,начал,v,Какая,pron,1.7.,1.7.,1,284,284,глаголы речевой деятельности,0,0,0,0,113,11,124,113,7856,75805,64037,36,37
117,3,34,35,подвели,подвести,v,13,0,47,11043,local,ROOT,подвели,Виницию,n,нового,adj,1.4.,1.4.,1,941,941,глаголы перемещения объекта,5,0,4,0,0,1,1,1,1296,0,54536,47,43
118,3,35,35,вскочил,вскочить,v,25,0,47,20056,local,ROOT,вскочил,трибун,n,на,prep,1.1.,1.1.,1,395,395,глаголы действия над конем,5,0,4,0,0,2081,2081,2081,11154,762,5973296,47,45
119,4,1,44,появлялся,появляться,v,16,2,66,36676,local,ROOT,появлялся,не,part,Виниций,n,2.1.,2.1.,1,375,375,глаголы бытия,6,0,5,0,922,0,922,922,3706,6808764,1,64,18
120,4,2,44,думать,думать,v,8,2,66,315578,local,ccomp,знал,что,pron,Напрасно,adv,1.6.,1.6.,1,434,434,глаголы интеллектуальной деятельности,2,1,1,1,403,1,404,403,47033,4480095,18223,63,10
129,4,11,44,жаждущего,жаждать,v,6,2,66,5461,global,acl,игрока,игрока,n,выиграть,v,2.2.4.,2.2.,2,431,1350,Желание,2,1,1,1,1,0,1,1,167,1794,2728,24,47
131,4,13,44,понимающего,понимать,v,12,3,66,185057,global,acl,человека,не,part,что,conj,1.6.,1.6.,1,434,434,глаголы интеллектуальной деятельности,3,1,2,1,115,31,146,115,403,6808764,4480095,59,45
132,4,14,44,отказаться,отказаться,v,41,4,66,43199,local,csubj,придется,чего-то,pron,Правда,adv,2.1.3.,2.1.,2,157,375,глаголы прекращения бытия,1,1,1,1,8,1,9,8,11700,17754,106501,61,54
139,4,21,44,страдало,страдать,v,20,9,66,27186,global,ROOT,страдало,тяжко,adv,теперь,adv,2.2.4.,2.2.,2,431,1350,глаголы выражения эмотивного состояния,6,0,5,0,0,0,0,0,366,4519,421680,52,29
142,4,24,44,ломал,ломать,v,54,3,66,10928,local,acl,загадка,мучительно,adv,себе,pron,1.4.,1.4.,1,941,941,глаголы воздействия на объект,6,1,5,1,3,125,128,125,1289,6528,342313,63,61
149,4,31,44,ощущать,ощущать,v,5,2,66,19804,local,xcomp,начинал,смутно,adv,что,conj,1.6.1.,1.6.,1,92,434,глаголы восприятия,2,1,2,1,3,116,119,116,2293,6311,4480095,64,5
151,4,33,44,потеряет,потерять,v,13,3,66,52063,local,ccomp,казалось,Лигию,n,и,conj,3.2.,3.2.,3,281,281,глаголы владения,4,1,3,1,0,33,33,33,1612,0,15068944,61,14
153,4,35,44,любит,любить,v,56,2,66,211585,global,xcomp,знал,знал,v,он,pron,2.2.4.,2.2.,2,431,1350,глаголы выражения эмотивного состояния,3,1,2,1,2,421,423,421,33514,92938,2622372,59,56
154,4,36,44,понимал,понимать,v,19,4,66,185057,local,conj,знал,а,conj,лишь,part,1.6.,1.6.,1,434,434,глаголы интеллектуальной деятельности,3,1,2,1,16,26,42,26,23521,3055375,187778,51,38
155,4,37,44,найти,найти,v,15,6,66,180228,global,xcomp,должен,ее,pron,и,conj,1.4.,1.4.,1,941,941,глаголы воздействия на объект,1,1,1,1,256,1414,1670,1414,45919,930574,15068944,60,37
157,4,39,44,вспоминал,вспоминать,v,8,3,66,46488,local,parataxis,видел,он,pron,каждое,pron,1.6.,1.6.,1,434,434,глаголы интеллектуальной деятельности,3,1,3,1,894,5,899,894,8803,2622372,21160,63,28
160,4,42,44,любил,любить,v,18,5,66,211585,global,ROOT,любил,Он,pron,ее,pron,2.2.4.,2.2.,2,431,1350,глаголы выражения эмотивного состояния,5,0,4,0,5076,1262,6338,5076,38153,2622372,930574,60,43
161,4,43,44,любим,любить,v,15,9,66,211585,global,acl,мысли,был,v,и,conj,2.2.4.,2.2.,2,431,1350,глаголы выражения эмотивного состояния,5,1,4,1,202,365,567,365,4444,883146,15068944,18,20
165,5,3,37,вырвать,вырвать,v,5,0,47,9393,local,csubj,можно,бы,part,но,conj,1.4.,1.4.,1,941,941,Глаголы воздействия на объект,1,1,1,1,45,8,53,45,2250,984068,2141006,47,47
167,5,5,37,полюбил,полюбить,v,0,0,47,14989,-,csubj,ясно,ее,pron,Подобно,prep,2.2.4.,2.2.,2,431,1350,глаголы выражения эмотивного состояния,5,1,4,1,88,0,88,88,4252,930574,19510,47,47
174,5,12,37,подумал,подумать,v,6,3,47,108205,local,advcl,содрогнулся,он,pron,что,conj,1.6.,1.6.,1,434,434,глаголы интеллектуальной деятельности,3,1,3,1,2302,7940,10242,7940,48162,2622372,4480095,43,41
179,5,17,37,жить,жить,v,34,2,47,306371,local,xcomp,сможет,сможет,v,если,conj,2.1.,2.1.,2,375,375,глаголы бытия,1,1,1,1,74,343,417,343,86506,11171,672559,45,38
180,5,18,37,умереть,умереть,v,12,3,47,84102,local,xcomp,может,может,v,пока,conj,2.1.,2.1.,2,375,375,глаголы бытия,1,1,1,1,343,17,360,343,12452,492509,179608,44,37
184,5,22,37,жить,жить,v,40,1,47,306371,local,csubj,было,чего,pron,чем,pron,2.1.,2.1.,2,375,375,глаголы бытия,2,1,2,1,129,124,253,129,86506,181857,412074,43,41
186,5,24,37,Отказавшись,отказаться,v,10,7,47,43199,local,advcl,приказал,,,от,prep,1.7.,1.7.,1,284,284,глаголы речевой деятельности,3,1,2,1,1300,867,2167,1300,1300,0,1447167,27,10
187,5,25,37,приказал,приказать,v,6,7,47,43586,local,ROOT,приказал,Виниций,n,нести,v,1.7.,1.7.,1,284,284,глаголы речевой деятельности,5,0,4,0,0,18,18,18,20548,1,5770,32,19
192,5,30,37,встретиться,встретиться,v,6,5,47,31558,global,xcomp,наметил,наметил,v,с,prep,3.1.,3.1.,3,105,105,встреча,1,1,1,1,0,2859,2859,2859,7646,1022,4342653,25,21
196,5,34,37,возвратит,возвратить,v,3,3,47,8711,local,conj,похитил,ее,pron,Но,conj,1.4.,1.4.,1,941,941,глаголы передачи объекта,4,1,3,1,2,1,3,2,299,930574,2141006,44,14
199,5,37,37,повидать,повидать,v,2,2,47,3827,local,csubj,надо,надо,v,раньше,adv,3.1.,3.1.,3,105,105,глаголы социальных взаимоотношений,2,1,2,1,29,0,29,29,2302,328295,73973,44,14
202,6,3,35,почернела,почернеть,v,11,3,47,2858,global,ROOT,почернела,пруде,n,и,conj,2.2.1.2.,2.2.,2,34,1350,цвет,5,0,4,0,1,44,45,44,230,333,15068944,24,15
210,6,11,35,заметил,заметить,v,28,1,47,114453,local,ROOT,заметил,не,part,что,conj,1.6.1.,1.6.,1,92,434,Глаголы созерцания,7,0,6,0,7684,9935,17619,9935,47119,6808764,4480095,46,31
213,6,14,35,рассказывал,рассказывать,v,12,3,47,95278,global,ROOT,рассказывал,он,pron,а,conj,1.7.,1.7.,1,284,284,Глаголы речевой деятельности,7,0,6,0,2361,159,2520,2361,27196,2622372,3055375,33,15
214,6,15,35,рассказывал,рассказывать,v,12,3,47,95278,global,ccomp,полагать,все-таки,adv,профессор,n,1.7.,1.7.,1,284,284,Глаголы речевой деятельности,5,1,4,1,3,6,9,6,27196,95774,22597,20,13
218,6,19,35,отозвался,отозваться,v,8,3,47,14869,local,ROOT,отозвался,усмехнувшись,v,профессор,n,1.7.,1.7.,1,284,284,Глаголы речевой деятельности,3,1,1,1,2,14,16,14,9416,1005,22597,43,42
219,6,20,35,написано,написать,v,27,3,47,144629,local,acl,того,что,pron,в,prep,1.5.4.,1.5.,1,29,272,Глаголы письма,3,1,2,1,916,1346,2262,1346,18376,4480095,11436263,8,33
221,6,22,35,осекся,осечься,v,8,3,47,1092,global,conj,усмехнулся,Берлиоз,n,потому,conj,2.1.3.,2.1.,2,157,375,Глаголы прекращения движения,4,1,3,1,1,15,16,15,822,220,308686,43,12
222,6,23,35,идя,идти,v,17,5,47,415623,local,advcl,говорил,Бездомному,adj,с,prep,1.2.2.,1.2.,1,57,304,глаголы движения,3,1,2,1,1,212,213,212,4407,71,4342653,39,36
223,6,24,35,подтвердить,подтвердить,v,15,4,47,19762,global,xcomp,может,может,v,что,conj,1.7.,1.7.,1,284,284,Глаголы речевой деятельности,1,1,1,1,155,292,447,292,2609,492509,4480095,40,31
224,6,25,35,рассказывали,рассказывать,v,14,4,47,95278,global,acl,то,нам,pron,происходило,v,1.7.,1.7.,1,284,284,Глаголы речевой деятельности,5,1,4,1,133,1,134,133,8230,267769,14062,43,39
225,6,26,35,подтвердить,подтвердить,v,14,2,47,19762,local,xcomp,может,кто,pron,начиная,v,1.7.,1.7.,1,284,284,Глаголы речевой деятельности,3,1,2,1,1,1,2,1,2609,307753,15986,23,16
227,6,28,35,поманил,поманить,v,9,3,47,1478,local,conj,ответил,таинственно,adv,обоих,num,1.4.,1.4.,1,941,941,глаголы воздействия на объект,4,1,4,1,11,2,13,11,812,3149,18057,44,29
228,6,29,35,наклонились,наклониться,v,13,3,47,8512,local,ROOT,наклонились,Те,pron,к,prep,1.4.4.,1.4.,1,85,941,Глаголы движения тела,7,0,6,0,1,33,34,33,204,130397,2226472,42,23
229,6,30,35,появлялся,появляться,v,38,4,47,36676,local,conj,пропадал,то,conj,Дело,n,2.2.2.,2.2.,2,430,1350,глаголы изменения состояния,4,1,2,1,59,0,59,59,3706,1442473,252612,43,41
230,6,31,35,заговорил,заговорить,v,15,2,47,34053,local,conj,оглянулся,и,conj,шепотом,n,1.7.,1.7.,1,284,284,Глаголы речевой деятельности,3,1,3,1,1364,26,1390,1364,16249,15068944,11760,44,41
231,6,32,35,присутствовал,присутствовать,v,34,3,47,34345,local,acl,том,лично,adv,при,prep,2.1.,2.1.,2,375,375,глаголы бытия,6,1,4,1,40,688,728,688,7399,29306,582132,41,37