Позиция,Слово,Семантическое поле,Количество,,,,,,,,,,,,,,,
1,пустому,характеристика помещения,9,,,,,,,,,,,,,,,
1,длинному,характеристика помещения,9,,,,,,,,,,,,,,,
1,темному,характеристика помещения,6,,,,,,,,,,,,,,,
1,коридору,часть помещения,6,,,,,,,,,,,,,,,
1,лестнице,часть помещения,5,,,,,,,,,,,,,,,
1,зданию,помещение,2,,,,,,,,,,,,,,,
1,тихому,характеристика помещения,2,,,,,,,,,,,,,,,
1,серому,цвет,1,,,,,,,,,,,,,,,
1,долгому,характеристика помещения,1,,,,,,,,,,,,,,,
1,колидору,часть помещения,1,,,,,,,,,,,,,,,
1,замку,помещение,1,,,,,,,,,,,,,,,
1,мрачному,характеристика помещения,1,,,,,,,,,,,,,,,
1,комнате,помещение,1,,,,,,,,,,,,,,,
2,коридору,часть помещения,36,,,,,,,,,,,,,,,
2,ковру,часть помещения,3,,,,,,,,,,,,,,,
2,полу,часть помещения,2,,,,,,,,,,,,,,,
2,корридору,часть помещения,2,,,,,,,,,,,,,,,
2,пути,"пространство, имеющее направление",1,,,,,,,,,,,,,,,
2,помещению,помещение,1,,,,,,,,,,,,,,,
2,шуму,звук,1,,,,,,,,,,,,,,,
2,паркету,часть помещения,1,,,,,,,,,,,,,,,
2,лесу,природное пространство,1,,,,,,,,,,,,,,,
3,здании,помещение,5,,,,,,,,,,,,,,,
3,кабинете,помещение,21,,,,,,,,,,,,,,,
3,помещении,помещение,12,,,,,,,,,,,,,,,
3,месте,помещение,5,,,,,,,,,,,,,,,
3,компьютере,техника,1,,,,,,,,,,,,,,,
3,зале,помещение,1,,,,,,,,,,,,,,,
3,пространстве,помещение,1,,,,,,,,,,,,,,,
3,острове,пространство,1,,,,,,,,,,,,,,,
3,диване,предмет мебели,1,,,,,,,,,,,,,,,
4,стеклянные,материал,5,,,,,,,,,,,,,,,
4,маленькие,внешняя характеристика предмета по размеру,17,,,,,,,,,,,,,,,
4,небольшие,внешняя характеристика предмета по размеру,13,,,,,,,,,,,,,,,
4,низкие,внешняя характеристика предмета по размеру,1,,,,,,,,,,,,,,,
4,старинные,эстетическая характеристика,1,,,,,,,,,,,,,,,
4,по-меньше,внешняя характеристика предмета по размеру,1,,,,,,,,,,,,,,,
4,стулья,предмет мебели,1,,,,,,,,,,,,,,,
4,тумбочки,предмет мебели,1,,,,,,,,,,,,,,,
4,столы и тумбы и,предмет мебели,1,,,,,,,,,,,,,,,
4,столы  ,предмет мебели,1,,,,,,,,,,,,,,,
4,сиреневые,цвет,1,,,,,,,,,,,,,,,
4,стеллажи,предмет мебели,1,,,,,,,,,,,,,,,
4,диковенные,эстетическая характеристика,1,,,,,,,,,,,,,,,
4,разнообразные,эстетическая характеристика,1,,,,,,,,,,,,,,,
4,высокие,внешняя характеристика предмета по размеру,1,,,,,,,,,,,,,,,
5,инструментами,инструменты,8,,,,,,,,,,,,,,,
5,ручками,части мебели,28,,,,,,,,,,,,,,,
5,приборами,инструменты,2,,,,,,,,,,,,,,,
5,деталями,части мебели,1,,,,,,,,,,,,,,,
5,красками,инструменты,1,,,,,,,,,,,,,,,
5,надписями,части мебели,1,,,,,,,,,,,,,,,
5,предметами,предметы,1,,,,,,,,,,,,,,,
5,ножками,части мебели,1,,,,,,,,,,,,,,,
5,дверками,части мебели,1,,,,,,,,,,,,,,,
5,изделиями,предметы,1,,,,,,,,,,,,,,,
5,чайниками,электроприборы,1,,,,,,,,,,,,,,,
5,колбами,инструменты,1,,,,,,,,,,,,,,,
6,кресла,предмет мебели,5,,,,,,,,,,,,,,,
6,приборы,электроприборы,6,,,,,,,,,,,,,,,
6,предметы,предметы,3,,,,,,,,,,,,,,,
6,приспособления,предметы,2,,,,,,,,,,,,,,,
6,детали,инструменты,2,,,,,,,,,,,,,,,
6,механизмы,механизмы,2,,,,,,,,,,,,,,,
6,они,-,2,,,,,,,,,,,,,,,
6,аппараты,электроприборы,2,,,,,,,,,,,,,,,
6,и,-,2,,,,,,,,,,,,,,,
6,разнообразно,оценка,1,,,,,,,,,,,,,,,
6,машины,электроприборы,1,,,,,,,,,,,,,,,
6,шкафики,предмет мебели,1,,,,,,,,,,,,,,,
6,приблуды,электроприборы,1,,,,,,,,,,,,,,,
6,новые,внешняя характерисика объекта по возрасту,1,,,,,,,,,,,,,,,
6,ингаляции,"процедуры, лечение",1,,,,,,,,,,,,,,,
6,инструменты,инструменты,1,,,,,,,,,,,,,,,
6,части,приборы,1,,,,,,,,,,,,,,,
6,технологии,приборы,1,,,,,,,,,,,,,,,
6,канделябры,предмет мебели,1,,,,,,,,,,,,,,,
6,люстры,предмет мебели,1,,,,,,,,,,,,,,,
6,прибамбасы,предметы,1,,,,,,,,,,,,,,,
6,непонятно,оценка,1,,,,,,,,,,,,,,,
6,столы,предмет мебели,1,,,,,,,,,,,,,,,
6,вещи,предметы ,1,,,,,,,,,,,,,,,
6,в кабинете,помещение,1,,,,,,,,,,,,,,,
6,светильники,предмет мебели,1,,,,,,,,,,,,,,,
6,схемы,инструменты,1,,,,,,,,,,,,,,,
6,здесь,место в пространстве,1,,,,,,,,,,,,,,,
7,колпаками,освещение,5,,,,,,,,,,,,,,,
7,абажурами,освещение,6,,,,,,,,,,,,,,,
7,огоньками,освещение,4,,,,,,,,,,,,,,,
7,жидкостями,жидкость,3,,,,,,,,,,,,,,,
7,лампочками,освещение,3,,,,,,,,,,,,,,,
7,ножками,освещение,2,,,,,,,,,,,,,,,
7,стеклами,освещение,2,,,,,,,,,,,,,,,
7,плафонами,освещение,2,,,,,,,,,,,,,,,
7,цоколями,освещение,1,,,,,,,,,,,,,,,
7,абажюрами,освещение,1,,,,,,,,,,,,,,,
7,подставками,освещение,1,,,,,,,,,,,,,,,
7,подсветками,освещение,1,,,,,,,,,,,,,,,
7,пробирками,инструменты,1,,,,,,,,,,,,,,,
7,линзами,освещение,1,,,,,,,,,,,,,,,
7,компонентами,части предметов,1,,,,,,,,,,,,,,,
7,узорами,части предметов,1,,,,,,,,,,,,,,,
7,нитями,ткани и их компоненты,1,,,,,,,,,,,,,,,
7,светилками,освещение,1,,,,,,,,,,,,,,,
7,вставками,части предметов,1,,,,,,,,,,,,,,,
7,огнями,освещение,1,,,,,,,,,,,,,,,
7,веществами,жидкость,1,,,,,,,,,,,,,,,
7,боками,части предметов,1,,,,,,,,,,,,,,,
7,поверхностями,части предметов,1,,,,,,,,,,,,,,,
7,диодами,освещение,1,,,,,,,,,,,,,,,
7,фонарями,освещение,1,,,,,,,,,,,,,,,
7,выключателями,освещение,1,,,,,,,,,,,,,,,
8,провода,электроприборы,5,,,,,,,,,,,,,,,
8,плиты,электроприборы,10,,,,,,,,,,,,,,,
8,нагреватели,электроприборы,3,,,,,,,,,,,,,,,
8,устройства,электроприборы,3,,,,,,,,,,,,,,,
8,плитки,электроприборы,2,,,,,,,,,,,,,,,
8,светильники,электроприборы,2,,,,,,,,,,,,,,,
8,лампы,электроприборы,2,,,,,,,,,,,,,,,
8,приборы,приборы,2,,,,,,,,,,,,,,,
8,чайники,приборы,2,,,,,,,,,,,,,,,
8,печи,приборы,1,,,,,,,,,,,,,,,
8,странные,оценка,1,,,,,,,,,,,,,,,
8,лампочки,электроприборы,1,,,,,,,,,,,,,,,
8,инструменты,инструменты,1,,,,,,,,,,,,,,,
8,стулья,предметы мебели,1,,,,,,,,,,,,,,,
8,механизмы,механизмы,1,,,,,,,,,,,,,,,
8,магниты,вещество,1,,,,,,,,,,,,,,,
8,колпаками,части ,1,,,,,,,,,,,,,,,
8,генераторы,электроприборы,1,,,,,,,,,,,,,,,
8,детали,части предметов,1,,,,,,,,,,,,,,,
8,витражи,стекло,1,,,,,,,,,,,,,,,
8,горелки,электроприборы,1,,,,,,,,,,,,,,,
8,духовки,электроприборы,1,,,,,,,,,,,,,,,
8,вещи,предмет,1,,,,,,,,,,,,,,,
8,катушки,приборы,1,,,,,,,,,,,,,,,
9,принялись,глаголы физического воздействия на объект,5,,,,,,,,,,,,,,,
9,взялись,глаголы физического воздействия на объект,17,,,,,,,,,,,,,,,
9,стояли,глаголы бытия,4,,,,,,,,,,,,,,,
9,схватились,глаголы физического воздействия на объект,3,,,,,,,,,,,,,,,
9,наблюдали,глаголы созерцания,2,,,,,,,,,,,,,,,
9,зашли,глаголы однонаправленного движения,2,,,,,,,,,,,,,,,
9,были,глаголы бытия,2,,,,,,,,,,,,,,,
9,отвечали,глаголы речевой деятельности,2,,,,,,,,,,,,,,,
9,проголосовали,глаголы выражения оценки,1,,,,,,,,,,,,,,,
9,вошли,глаголы однонаправленного движения,1,,,,,,,,,,,,,,,
9,встали,глаголы изменения качественного состояния,1,,,,,,,,,,,,,,,
9,голосовали,глаголы выражения оценки,1,,,,,,,,,,,,,,,
9,шли,глаголы действия,1,,,,,,,,,,,,,,,
9,присутствовали,глаголы бытия,1,,,,,,,,,,,,,,,
9,заинтересовались ,глаголы выражения оценки,1,,,,,,,,,,,,,,,
9,работали,глаголы деятельности,1,,,,,,,,,,,,,,,
9,было,глаголы бытия,1,,,,,,,,,,,,,,,
10,столик,предмет мебели,3,,,,,,,,,,,,,,,
10,ширму,предмет мебели,19,,,,,,,,,,,,,,,
10,шкаф,предмет мебели,6,,,,,,,,,,,,,,,
10,дверь,предмет мебели,4,,,,,,,,,,,,,,,
10,стол,предмет мебели,3,,,,,,,,,,,,,,,
10,шторку,предмет мебели,2,,,,,,,,,,,,,,,
10,за столик,предмет мебели,1,,,,,,,,,,,,,,,
10,надобность,нужда,1,,,,,,,,,,,,,,,
10,поворотом,направление,1,,,,,,,,,,,,,,,
10,информацией,информация,1,,,,,,,,,,,,,,,
10,дверью,предмет мебели,1,,,,,,,,,,,,,,,
10,занавесом,предмет мебели,1,,,,,,,,,,,,,,,
10,шкафчик,предмет мебели,1,,,,,,,,,,,,,,,
10,мебелью,предмет мебели,1,,,,,,,,,,,,,,,
10,решетку,предмет мебели,1,,,,,,,,,,,,,,,
10,которым,-,1,,,,,,,,,,,,,,,
11,обдумывать,глаголы интеллектуальной деятельности,14,,,,,,,,,,,,,,,
11,оценивать,глаголы интеллектуальной деятельности,10,,,,,,,,,,,,,,,
11,принимать,глаголы интеллектуальной деятельности,2,,,,,,,,,,,,,,,
11,рассказывать,глаголы речевой деятельности,2,,,,,,,,,,,,,,,
11,анализировать,глаголы интеллектуальной деятельности,2,,,,,,,,,,,,,,,
11,терять,глаголы лишения,2,,,,,,,,,,,,,,,
11,занимать,глаголы интеллектуальной деятельности,1,,,,,,,,,,,,,,,
11,осознавать,глаголы интеллектуальной деятельности,1,,,,,,,,,,,,,,,
11,узнавать,глаголы интеллектуальной деятельности,1,,,,,,,,,,,,,,,
11,в трудное,оценка,1,,,,,,,,,,,,,,,
11,лихорадочно обдумывать своё,глаголы интеллектуальной деятельности,1,,,,,,,,,,,,,,,
11,обдумывать свое,глаголы интеллектуальной деятельности,1,,,,,,,,,,,,,,,
11, выправлять,глаголы деятельности,1,,,,,,,,,,,,,,,
11,выяснять,глаголы интеллектуальной деятельности,1,,,,,,,,,,,,,,,
11,оценивать,глаголы интеллектуальной деятельности,1,,,,,,,,,,,,,,,
11,итди,глаголы движения,1,,,,,,,,,,,,,,,
11,в ровное,оценка,1,,,,,,,,,,,,,,,
11,изучать,глаголы интеллектуальной деятельности,1,,,,,,,,,,,,,,,
11,отстаивать,глаголы деятельности,1,,,,,,,,,,,,,,,
11,низкое,оценка,1,,,,,,,,,,,,,,,
11,в неловкое,эмоциональная характеристика,1,,,,,,,,,,,,,,,
12,соблазнял,глаголы приведения в эмоциональное состояние,5,,,,,,,,,,,,,,,
12,опасный,,8,,,,,,,,,,,,,,,
12,заманчивый,приведения в эмоциональное состояние,3,,,,,,,,,,,,,,,
12,привлекал,глаголы приведения в эмоциональное состояние,2,,,,,,,,,,,,,,,
12,смелый,оценка,2,,,,,,,,,,,,,,,
12,простой,степень сложности,2,,,,,,,,,,,,,,,
12,трудных,степень сложности,1,,,,,,,,,,,,,,,
12,очевидным,оценка,1,,,,,,,,,,,,,,,
12,план,идея,1,,,,,,,,,,,,,,,
12,бесшабашный,нормативная оценка,1,,,,,,,,,,,,,,,
12,волновал,глаголы приведения в эмоциональное состояние,1,,,,,,,,,,,,,,,
12,сложным,степень сложности,1,,,,,,,,,,,,,,,
12,радикальный,нормативная оценка,1,,,,,,,,,,,,,,,
12,бежать,глаголы движения,1,,,,,,,,,,,,,,,
12,буйный,нормативная оценка,1,,,,,,,,,,,,,,,
12,простой и очевидный,степень сложности,1,,,,,,,,,,,,,,,
12,просто,степень сложности,1,,,,,,,,,,,,,,,
12,идеей,идея,1,,,,,,,,,,,,,,,
12,глупый,интеллектуальная оценка,1,,,,,,,,,,,,,,,
12,соблазнительный,приведения в эмоциональное состояние,1,,,,,,,,,,,,,,,
12,сложно,степень сложности,1,,,,,,,,,,,,,,,
12,неподходящий,нормативная оценка,1,,,,,,,,,,,,,,,
12,легкий,степень сложности,1,,,,,,,,,,,,,,,
12,манил,глаголы приведения в эмоциональное состояние,1,,,,,,,,,,,,,,,
12,мужчина,человек,1,,,,,,,,,,,,,,,
12,нравился,глаголы приведения в эмоциональное состояние,1,,,,,,,,,,,,,,,
12,агрессивный,эмоциональная оценка,1,,,,,,,,,,,,,,,
12,невежественный,нормативная оценка,1,,,,,,,,,,,,,,,
12,дерзкий,нормативная оценка,1,,,,,,,,,,,,,,,
12,сложный,степень сложности,1,,,,,,,,,,,,,,,
12,сильно,оценка,1,,,,,,,,,,,,,,,
12,трудный,степень сложности,1,,,,,,,,,,,,,,,
13,замысловатые,нормативная оценка,5,,,,,,,,,,,,,,,
13,странные,нормативная оценка,7,,,,,,,,,,,,,,,
13,непонятные,нормативная оценка,4,,,,,,,,,,,,,,,
13,схватить,глаголы действия над объектом,3,,,,,,,,,,,,,,,
13,другие,характеристика вида,3,,,,,,,,,,,,,,,
13,блестящие,характеристика вида,2,,,,,,,,,,,,,,,
13,разбросать,глаголы действия над объектом,2,,,,,,,,,,,,,,,
13,разбить,глаголы действия над объектом,2,,,,,,,,,,,,,,,
13,необычные,нормативная оценка,2,,,,,,,,,,,,,,,
13,разнести,глаголы действия над объектом,1,,,,,,,,,,,,,,,
13,разломать,глаголы действия над объектом,1,,,,,,,,,,,,,,,
13,бросить,глаголы действия над объектом,1,,,,,,,,,,,,,,,
13,приборы на эти заковыричтые,-,1,,,,,,,,,,,,,,,
13,перебрать,глаголы действия над объектом,1,,,,,,,,,,,,,,,
13,диковинные,нормативная оценка,1,,,,,,,,,,,,,,,
13,чертовы,нормативная оценка,1,,,,,,,,,,,,,,,
13,все эти,характеристика вида,1,,,,,,,,,,,,,,,
13,устройства,приборы,1,,,,,,,,,,,,,,,
13,крушить,глаголы действия над объектом,1,,,,,,,,,,,,,,,
13,сломал,глаголы действия над объектом,1,,,,,,,,,,,,,,,
13,бесполезные,нормативная оценка,1,,,,,,,,,,,,,,,
13,прочие,характеристика вида,1,,,,,,,,,,,,,,,
13,дивные,нормативная оценка,1,,,,,,,,,,,,,,,
13,раскидать,глаголы действия над объектом,1,,,,,,,,,,,,,,,
13,взять,глаголы действия над объектом,1,,,,,,,,,,,,,,,
13,остальные,характеристика вида,1,,,,,,,,,,,,,,,
14,задержан,глаголы удержания,6,,,,,,,,,,,,,,,
14,пришел,глаголы однонаправленного движения,7,,,,,,,,,,,,,,,
14,здесь,место в пространстве,4,,,,,,,,,,,,,,,
14,согласился,глаголы выражения оценки,2,,,,,,,,,,,,,,,
14,делал,глаголы деятельности,2,,,,,,,,,,,,,,,
14,тратит время,глаголы поведения,2,,,,,,,,,,,,,,,
14,пропадает,глаголы бытия,2,,,,,,,,,,,,,,,
14,страдает,глаголы эмоционального состояния,2,,,,,,,,,,,,,,,
14,приехал,глаголы однонаправленного движения,2,,,,,,,,,,,,,,,
14,наказан,глаголы физического воздействия на объект,1,,,,,,,,,,,,,,,
14,действовал,глаголы деятельности,1,,,,,,,,,,,,,,,
14,приведен сюда,глаголы физического воздействия на объект,1,,,,,,,,,,,,,,,
14,находится здесь,глаголы бытия,1,,,,,,,,,,,,,,,
14,сделал бы,глаголы деятельности,1,,,,,,,,,,,,,,,
14,поддавался,глаголы поведения,1,,,,,,,,,,,,,,,
14,находится тут,глаголы бытия,1,,,,,,,,,,,,,,,
14,схвачен,глаголы физического воздействия на объект,1,,,,,,,,,,,,,,,
14,волновался,глаголы эмоционального состояния,1,,,,,,,,,,,,,,,
14,терял время,глаголы поведения,1,,,,,,,,,,,,,,,
14,прибыл,глаголы однонаправленного движения,1,,,,,,,,,,,,,,,
14,тут,место в пространстве,1,,,,,,,,,,,,,,,
14,арестован,глаголы физического воздействия на объект,1,,,,,,,,,,,,,,,
14,мучился,глаголы эмоционального состояния,1,,,,,,,,,,,,,,,
14,потратил время,глаголы поведения,1,,,,,,,,,,,,,,,
14,стоял ,глаголы бытия,1,,,,,,,,,,,,,,,
15,сегодняшний,время,6,,,,,,,,,,,,,,,
15,нынешний,время,11,,,,,,,,,,,,,,,
15,новый,время,8,,,,,,,,,,,,,,,
15,этот,время,6,,,,,,,,,,,,,,,
15,теперешний,время,5,,,,,,,,,,,,,,,
15,сопротивляться,глаголы физического воздействия на объект,1,,,,,,,,,,,,,,,
15,тот,-,1,,,,,,,,,,,,,,,
15,старый,время,1,,,,,,,,,,,,,,,
15,разозлившийся,эмоциональная характеристика,1,,,,,,,,,,,,,,,
15,ведь,-,1,,,,,,,,,,,,,,,
15,первый,порядковое прилагательное,1,,,,,,,,,,,,,,,
15,брат,человек,1,,,,,,,,,,,,,,,
15,зря,бесполезность,1,,,,,,,,,,,,,,,
15,наш,принадлежность,1,,,,,,,,,,,,,,,
15,второй ,порядковое прилагательное,1,,,,,,,,,,,,,,,
15,настоящий,прилагательное оценки реальности,1,,,,,,,,,,,,,,,
16,вчерашнего,время,8,,,,,,,,,,,,,,,
16,прежнего,время,11,,,,,,,,,,,,,,,
16,старого,время,6,,,,,,,,,,,,,,,
16,прошлого,время,5,,,,,,,,,,,,,,,
16,предыдущего,время,3,,,,,,,,,,,,,,,
16,того,время,2,,,,,,,,,,,,,,,
16,прежднего,время,2,,,,,,,,,,,,,,,
16,обычного,нормативная оценка,1,,,,,,,,,,,,,,,
16,нового,время,1,,,,,,,,,,,,,,,
16,спокойного,характер ,1,,,,,,,,,,,,,,,
16,обыкновенного,нормативная оценка,1,,,,,,,,,,,,,,,
16,настоящего,время,1,,,,,,,,,,,,,,,
16,потому,-,1,,,,,,,,,,,,,,,
16,за пару часов до случившегося,время,1,,,,,,,,,,,,,,,
16,урганта,имя,1,,,,,,,,,,,,,,,
16,николаевича,имя,1,,,,,,,,,,,,,,,
17,сомнительным,прилагательные оценки,7,,,,,,,,,,,,,,,
17,опасным,прилагательные оценки,5,,,,,,,,,,,,,,,
17,глупым,интеллектуальная оценка,3,,,,,,,,,,,,,,,
17,неразумным ,прилагательные оценки,3,,,,,,,,,,,,,,,
17,неверным,прилагательные оценки,3,,,,,,,,,,,,,,,
17,неправильным,прилагательные оценки,2,,,,,,,,,,,,,,,
17,неприемлимым,прилагательные оценки,2,,,,,,,,,,,,,,,
17,путь,"пространство, имеющее направление",1,,,,,,,,,,,,,,,
17,неприемлемым,прилагательные оценки,1,,,,,,,,,,,,,,,
17,слишком простым,прилагательные оценки,1,,,,,,,,,,,,,,,
17,муторным,прилагательные оценки,1,,,,,,,,,,,,,,,
17,интересным,эмотивная характеристика,1,,,,,,,,,,,,,,,
17,излишним,прилагательные оценки,1,,,,,,,,,,,,,,,
17,слишом опрометчивым,прилагательные оценки,1,,,,,,,,,,,,,,,
17,ужасным,эмотивная характеристика,1,,,,,,,,,,,,,,,
17,трудным,прилагательные оценки,1,,,,,,,,,,,,,,,
17,плохим,прилагательные оценки,1,,,,,,,,,,,,,,,
17,диким,прилагательные оценки,1,,,,,,,,,,,,,,,
17,ненадежным,прилагательные оценки,1,,,,,,,,,,,,,,,
17,рисковым,прилагательные оценки,1,,,,,,,,,,,,,,,
17,знаком,знак,1,,,,,,,,,,,,,,,
17,неудачным,прилагательные оценки,1,,,,,,,,,,,,,,,
17,пугающим,глаголы вызывающие эмотивное состояние,1,,,,,,,,,,,,,,,
17,не совсем верным,прилагательные оценки,1,,,,,,,,,,,,,,,
17,не правильным,прилагательные оценки,1,,,,,,,,,,,,,,,
17,добрее,эмотивная характеристика,1,,,,,,,,,,,,,,,
17,легким,прилагательные оценки,1,,,,,,,,,,,,,,,
17,лучше,прилагательные оценки,1,,,,,,,,,,,,,,,
17,неуместным,прилагательные оценки,1,,,,,,,,,,,,,,,
18,сумасшедший,больной человек,9,,,,,,,,,,,,,,,
18,человек,человек,9,,,,,,,,,,,,,,,
18,пациент,больной человек,4,,,,,,,,,,,,,,,
18,псих,больной человек,4,,,,,,,,,,,,,,,
18,шизофреник,больной человек,2,,,,,,,,,,,,,,,
18,психопат,больной человек,2,,,,,,,,,,,,,,,
18,нрав,характер,1,,,,,,,,,,,,,,,
18,психбоьной,больной человек,1,,,,,,,,,,,,,,,
18,ушлепок,больной человек,1,,,,,,,,,,,,,,,
18,товарищ,человек,1,,,,,,,,,,,,,,,
18,дурак,интеллектуальная оценка человека,1,,,,,,,,,,,,,,,
18,человеком,человек,1,,,,,,,,,,,,,,,
18,бык,животное,1,,,,,,,,,,,,,,,
18,мститель,человек,1,,,,,,,,,,,,,,,
18,глупец,интеллектуальная оценка человека,1,,,,,,,,,,,,,,,
18,нарушитель,человек,1,,,,,,,,,,,,,,,
18,сумашедший,больной человек,1,,,,,,,,,,,,,,,
18,и сумасшедший,больной человек,1,,,,,,,,,,,,,,,
18,больной,больной человек,1,,,,,,,,,,,,,,,
18,индивид,человек,1,,,,,,,,,,,,,,,
18,такой,-,1,,,,,,,,,,,,,,,
19,повествование,речь,2,,,,,,,,,,,,,,,
19,рассказывать,глаголы речевого действия,12,,,,,,,,,,,,,,,
19,говорить,глаголы речевого действия,7,,,,,,,,,,,,,,,
19,разговор,речь,6,,,,,,,,,,,,,,,
19,распрашивать,глаголы речевого действия,2,,,,,,,,,,,,,,,
19,расспрашивать,глаголы речевого действия,2,,,,,,,,,,,,,,,
19,разговоры,речь,2,,,,,,,,,,,,,,,
19,спрашивать,глаголы речевого действия,2,,,,,,,,,,,,,,,
